GEO_ID,B03002_E001,B03002_M001,B03002_E002,B03002_M002,B03002_E003,B03002_M003,B03002_E004,B03002_M004,B03002_E005,B03002_M005,B03002_E006,B03002_M006,B03002_E007,B03002_M007,B03002_E008,B03002_M008,B03002_E009,B03002_M009,B03002_E010,B03002_M010,B03002_E011,B03002_M011,B03002_E012,B03002_M012,B03002_E013,B03002_M013,B03002_E014,B03002_M014,B03002_E015,B03002_M015,B03002_E016,B03002_M016,B03002_E017,B03002_M017,B03002_E018,B03002_M018,B03002_E019,B03002_M019,B03002_E020,B03002_M020,B03002_E021,B03002_M021
1400000US06037189501,2245,437,2129,449,1770,373,207,259,0,14,64,42,0,14,10,18,78,54,25,21,53,51,116,64,49,52,10,17,0,14,0,14,0,14,14,22,43,32,26,29,17,23
1400000US06037189502,2053,260,1699,305,1193,233,155,102,0,14,193,100,6,13,16,25,136,109,79,100,57,64,354,132,99,84,60,65,0,14,6,13,0,14,104,106,85,77,37,36,48,63
1400000US06037189600,3296,590,2739,444,2127,397,129,106,12,19,179,113,0,14,24,37,268,156,61,76,207,151,557,337,16,27,0,14,0,14,143,220,0,14,82,127,316,190,316,190,0,14
1400000US06037189702,2459,434,2197,371,1748,384,286,175,0,14,17,27,0,14,9,14,137,132,0,14,137,132,262,169,59,65,29,43,0,14,12,19,0,14,28,21,134,151,111,144,23,44
1400000US06037189703,1842,220,1717,223,1110,230,137,79,0,14,319,169,0,14,23,43,128,86,20,34,108,76,125,70,20,25,0,14,0,14,0,14,0,14,17,25,88,62,73,54,15,28
1400000US06037189704,2169,575,1578,461,1086,451,93,97,0,14,124,103,0,14,17,28,258,177,36,56,222,173,591,361,33,41,17,35,0,14,0,14,0,14,312,335,229,122,149,112,80,70
1400000US06037189801,2429,325,2146,343,1823,312,126,96,26,41,44,36,0,14,33,39,94,68,12,19,82,64,283,122,67,61,0,14,0,14,0,14,0,14,66,64,150,87,91,81,59,61
1400000US06037189802,1934,304,1476,339,1070,355,163,98,0,14,70,56,0,14,58,89,115,80,0,14,115,80,458,232,111,111,0,14,0,14,0,14,0,14,113,94,234,134,216,130,18,41
1400000US06037189903,2212,275,1820,260,1336,245,143,103,0,14,170,125,0,14,15,24,156,102,6,11,150,100,392,167,105,74,10,16,0,14,0,14,0,14,128,81,149,74,133,73,16,24
1400000US06037189904,2434,362,1894,299,1206,235,240,119,0,14,188,138,0,14,0,14,260,187,105,136,155,121,540,289,45,47,25,30,5,8,0,14,0,14,265,265,200,122,200,122,0,14
1400000US06037189905,2446,597,1771,221,1380,231,181,109,0,14,94,48,0,14,0,14,116,64,85,62,31,31,675,498,0,14,27,41,0,14,5,9,0,14,245,145,398,373,331,366,67,83
1400000US06037189906,2324,239,2004,247,1310,271,242,163,0,14,291,146,0,14,43,54,118,81,42,49,76,63,320,114,40,31,15,22,0,14,33,46,0,14,80,57,152,102,104,88,48,61
1400000US06037189907,2681,883,2098,345,1473,370,269,119,0,14,276,148,0,14,16,26,64,47,0,14,64,47,583,635,93,75,0,14,0,14,0,14,0,14,131,139,359,489,359,489,0,14
1400000US06037190101,1600,309,1386,331,827,276,225,134,31,47,66,43,12,20,88,138,137,106,0,14,137,106,214,97,34,44,9,15,0,14,0,14,0,14,136,78,35,26,28,24,7,11
1400000US06037190102,2629,535,1763,494,1052,405,69,64,0,14,412,217,0,14,0,14,230,152,104,121,126,123,866,383,30,34,0,14,35,35,0,14,0,14,509,326,292,239,170,188,122,188
1400000US06037190201,3674,779,1808,302,977,207,212,101,0,14,370,207,0,14,89,94,160,100,30,47,130,92,1866,781,432,377,29,44,13,27,0,14,0,14,684,324,708,534,692,534,16,24
1400000US06037190202,3001,420,2583,439,1608,380,388,302,0,14,338,240,0,14,46,52,203,106,19,31,184,99,418,202,122,98,0,14,0,14,7,13,0,14,18,30,271,176,215,161,56,70
