GEO_ID,B19013_E001,B19013_M001
1400000US06037139505,49500,31483
1400000US06037139506,72849,18637
1400000US06037139600,89473,18187
1400000US06037139701,162188,60013
1400000US06037139703,223750,61762
1400000US06037139704,141546,35486
1400000US06037139705,250001,-333333333
1400000US06037139801,232434,15994
1400000US06037139802,228990,23760
1400000US06037141101,73318,20051
1400000US06037141102,95288,45737
1400000US06037141201,77207,37343
1400000US06037141202,114621,29643
1400000US06037141303,103990,21433
1400000US06037141304,101941,29882
1400000US06037141305,119448,26814
1400000US06037141306,109222,13806
1400000US06037141400,118441,30800
1400000US06037141500,206607,109350
1400000US06037141600,202825,46788
1400000US06037141700,234120,40952
1400000US06037143101,105375,9011
1400000US06037143102,101333,24183
1400000US06037143200,95867,24081
1400000US06037143301,97386,40102
1400000US06037143302,127500,34036
1400000US06037143401,131161,38133
1400000US06037143402,110179,31106
1400000US06037143500,178875,48636
1400000US06037143602,102388,21308
1400000US06037143603,96458,18658
1400000US06037143605,96500,24381
1400000US06037143606,89176,19204
1400000US06037143700,151125,56478
1400000US06037143801,165880,40008
1400000US06037143802,161706,20043
1400000US06037143901,212027,24959
1400000US06037143902,160000,34602
1400000US06037181000,151875,46661
1400000US06037181300,152219,23510
1400000US06037181400,106075,11003
1400000US06037181500,127847,29846
1400000US06037181600,94091,54095
1400000US06037183101,120521,49814
1400000US06037183103,93506,22946
1400000US06037183104,94444,24059
1400000US06037183220,136854,12706
1400000US06037183221,102250,48086
1400000US06037183222,99464,45990
1400000US06037183300,97361,26839
1400000US06037183401,109688,11858
1400000US06037183402,102196,20883
1400000US06037183510,102813,20692
1400000US06037183520,69436,3487
1400000US06037183610,80688,17325
1400000US06037183620,112476,20543
1400000US06037183701,71946,12761
1400000US06037183702,93654,20310
1400000US06037183810,73500,22562
1400000US06037183820,78426,25139
1400000US06037185101,85967,32871
1400000US06037185102,137750,91637
1400000US06037185202,134875,28701
1400000US06037185203,88667,21846
1400000US06037185204,128523,52486
1400000US06037185310,93958,23112
1400000US06037185320,61618,11402
1400000US06037186100,105069,7756
1400000US06037186201,83562,11945
1400000US06037186202,99188,12476
1400000US06037186203,177623,27534
1400000US06037186301,69614,7842
1400000US06037186302,102719,24666
1400000US06037186401,57011,9484
1400000US06037186403,105048,19870
1400000US06037186404,79643,22359
1400000US06037187101,91829,24115
1400000US06037187102,91944,33819
1400000US06037187200,96912,6316
1400000US06037187300,126528,36825
1400000US06037188100,93675,18732
1400000US06037188201,92500,25596
1400000US06037188202,200962,25113
1400000US06037188300,123234,28627
1400000US06037189101,106295,12722
1400000US06037189102,126071,17292
1400000US06037189201,66771,31129
1400000US06037189202,152857,61880
1400000US06037189300,188814,21643
1400000US06037189400,118750,28560
1400000US06037189501,90137,26298
1400000US06037189502,68250,14781
1400000US06037189600,85259,20682
1400000US06037189702,81646,24101
1400000US06037189703,126466,14657
1400000US06037189704,120833,36706
1400000US06037189801,96043,12957
1400000US06037189802,123056,55499
1400000US06037189903,101135,9298
1400000US06037189904,73279,10394
1400000US06037189905,80291,15888
1400000US06037189906,93878,22560
1400000US06037189907,95576,12933
1400000US06037190101,44000,17453
